"w1","x1","x2","293.15","298.15","303.15","308.15","313.15"
"0.00","0.0000","1.0000","0.00000380","0.00000481","0.00000710","0.00000911","0.00001141"
"0.10","0.0588","0.9412","0.00000594","0.00000788","0.00001078","0.00001391","0.00001847"
"0.20","0.1232","0.8768","0.00001177","0.00001504","0.00002021","0.00002836","0.00003794"
"0.30","0.1942","0.8058","0.00002370","0.00003223","0.00004312","0.00005581","0.00007654"
"0.40","0.2726","0.7274","0.00004428","0.00005754","0.00007090","0.00009290","0.00011722"
"0.50","0.3199","0.6801","0.00007085","0.00008882","0.00010817","0.00013698","0.00017044"
"0.60","0.4575","0.5425","0.00009118","0.00011351","0.00014080","0.00017151","0.00021441"
"0.70","0.5675","0.4325","0.00011069","0.00013857","0.00017012","0.00021766","0.00025445"
"0.80","0.6922","0.3078","0.00011246","0.00014245","0.00017333","0.00021282","0.00026360"
"0.90","0.8350","0.1650","0.00009115","0.00011138","0.00014295","0.00017229","0.00020692"
"1.00","1.0000","0.0000","0.00006264","0.00007743","0.00009461","0.00011685","0.00013787"
