"w1","x1","x2","293.15","298.15","303.15","308.15","313.15"
"0","0","1","0.00002221","0.00002814","0.00003669","0.00004333","0.00005551"
"0.1","0.0588","0.9412","0.00005937","0.00007374","0.00009035","0.00011188","0.00013935"
"0.2","0.1232","0.8768","0.00016493","0.00020056","0.00024492","0.00030742","0.00038388"
"0.3","0.1942","0.8058","0.00030392","0.00038867","0.00045049","0.00055043","0.00070379"
"0.4","0.2726","0.7274","0.00050468","0.00058810","0.00072725","0.00084233","0.00110080"
"0.5","0.3199","0.6801","0.00070517","0.00084149","0.00099114","0.00120807","0.00146903"
"0.6","0.4575","0.5425","0.00090560","0.00105489","0.00127102","0.00153278","0.00183407"
"0.7","0.5675","0.4325","0.00108645","0.00124528","0.00150822","0.00184263","0.00217352"
"0.8","0.6922","0.3078","0.00112979","0.00137250","0.00162364","0.00191296","0.00231800"
"0.9","0.835","0.165","0.00102330","0.00119795","0.00137727","0.00170747","0.00195187"
"1","1","0","0.00059081","0.00064772","0.00069791","0.00083992","0.00101261"
