"w1","x1","x2","288.15","293.15","298.15","303.15","308.15","313.15","318.15"
"0","0","1","1.96E-9","2.383E-9","2.85E-9","3.776E-9","5.72E-9","7.477E-9","9.28E-9"
"0.05","0.0094743199905287","0.99052568000947","4.0757580514141E-9","5.7546841656589E-9","7.4094083620463E-9","9.6224764693619E-9","1.2391012790432E-8","1.5827772849662E-8","2.3165098057521E-8"
"0.1","0.019792981051067","0.98020701894893","8.8094765039327E-9","1.0554879564329E-8","1.5771110861997E-8","2.0450886263031E-8","2.6296612672799E-8","3.3542909668952E-8","4.6462963354714E-8"
"0.15","0.031074117307549","0.96892588269245","1.665770013835E-8","2.3610853058171E-8","3.1613175731056E-8","4.1922122381176E-8","5.5085921950974E-8","7.17547648163E-8","9.36999475914E-8"
"0.2","0.043458978931781","0.95654102106822","3.8388379555136E-8","5.2480347924548E-8","7.105387087168E-8","9.186088721537E-8","1.1777517798269E-7","1.6980645635892E-7","2.1911037927996E-7"
"0.25","0.057117877037442","0.94288212296256","8.6524817096915E-8","9.9802701382695E-8","1.4772204511209E-7","2.0643495641154E-7","2.6784328963099E-7","3.6464080172358E-7","4.5995940855444E-7"
"0.3","0.072258062721992","0.92774193727801","1.6838956859072E-7","2.2755109973382E-7","3.2785886183117E-7","4.4837254243642E-7","5.7318867394182E-7","7.5702643249682E-7","9.5520313314236E-7"
"0.35","0.089134316488777","0.91086568351122","4.4245767016722E-7","6.087830436648E-7","8.0326982079344E-7","1.0338232929428E-6","1.5196992113685E-6","1.9715436704077E-6","2.3018834213582E-6"
"0.4","0.10806340196897","0.89193659803103","9.8897248984971E-7","1.2371826453935E-6","1.7627700265843E-6","2.3938152300029E-6","3.0513146812046E-6","3.959381299796E-6","5.2458369946609E-6"
"0.45","0.12944413567422","0.87055586432578","2.3515646804898E-6","3.3316576216278E-6","4.3115345658322E-6","5.5323516732485E-6","7.041641010387E-6","8.8939050668623E-6","1.3151282584695E-5"
"0.5","0.15378579486941","0.84621420513059","5.6969695262525E-6","7.3568559792341E-6","9.7642048801145E-6","1.2510115303038E-5","1.5899854231937E-5","2.3053938147092E-5","2.7801050900971E-5"
"0.55","0.18174920571425","0.81825079428575","1.2649184035972E-5","1.4935297056971E-5","2.2106073340324E-5","2.8280205287436E-5","3.5890715529202E-5","4.6203968577333E-5","5.9520881960168E-5"
"0.6","0.21420764576833","0.78579235423167","2.8466114651801E-5","3.6591947632203E-5","4.8997755888632E-5","6.5143117613531E-5","8.2553563895141E-5","0.00010382888587273","0.00013364151269345"
"0.65","0.25233968299228","0.74766031700772","6.9079095264994E-5","8.5093191307289E-5","0.00010694583473218","0.00014915875636773","0.00018874861348103","0.00023705769457723","0.00031556415523144"
"0.7","0.2977753606543","0.7022246393457","0.00014743592585153","0.00019638848063711","0.00026180624884784","0.00033342098368434","0.00042130634328762","0.00051839470160248","0.00066811740875052"
"0.75","0.35283527741712","0.64716472258288","0.00034565628179319","0.00044694718050844","0.00057302764922594","0.00072867693039688","0.00091940702633009","0.001151479455901","0.0015321227702306"
"0.8","0.42093959079186","0.57906040920814","0.00074519227506145","0.00097498851041428","0.0012480819552228","0.0015847073378931","0.0019965932376237","0.0024970422502146","0.00320119870714"
"0.85","0.5073467767137","0.4926532232863","0.0016572916383751","0.0021362579379461","0.0027303701444764","0.003461577133745","0.0043549409334151","0.0054388425089221","0.006845392943613"
"0.9","0.6205804686323","0.3794195313677","0.003636225839071","0.004679732427995","0.0059719077417322","0.0075598312084413","0.0094970359777838","0.011844049584795","0.014668828220027"
"0.95","0.77542945916038","0.22457054083962","0.0079371753108786","0.010199372495071","0.012995402981414","0.016426131022474","0.02060530254755","0.025661323323451","0.03173560678224"
"1","1","0","0.017493454274918","0.023760178133084","0.027736523435235","0.034667124381912","0.046864831347745","0.055664582222131","0.069325445187525"
