"w1","x2","x1","278.15","283.15","288.15","293.15","298.15","303.15","308.15","313.15","318.15"
"0","1","0","0.00075","0.00098","0.00126","0.00161","0.00201","0.00262","0.00320","0.00395","0.00489"
"0.05","0.960541386","0.039458614","0.00078","0.00102","0.00131","0.00167","0.00208","0.00271","0.00332","0.00410","0.00505"
"0.1","0.920197265","0.079802735","0.00086","0.00115","0.00146","0.00183","0.00226","0.00286","0.00365","0.00455","0.00553"
"0.15","0.878937491","0.121062509","0.00101","0.00133","0.00170","0.00223","0.00280","0.00347","0.00423","0.00521","0.00632"
"0.2","0.836730534","0.163269466","0.00122","0.00166","0.00216","0.00276","0.00344","0.00427","0.00513","0.00633","0.00775"
"0.25","0.793543398","0.206456602","0.00160","0.00209","0.00266","0.00335","0.00421","0.00520","0.00650","0.00796","0.00956"
"0.3","0.749341539","0.250658461","0.00189","0.00245","0.00311","0.00391","0.00491","0.00606","0.00753","0.00921","0.01111"
"0.35","0.704088768","0.295911232","0.00210","0.00270","0.00343","0.00432","0.00539","0.00667","0.00822","0.01005","0.01220"
"0.4","0.657747156","0.342252844","0.00221","0.00285","0.00360","0.00452","0.00563","0.00697","0.00856","0.01045","0.01267"
"0.45","0.610276926","0.389723074","0.00222","0.00286","0.00361","0.00452","0.00564","0.00693","0.00859","0.01045","0.01251"
"0.5","0.561636339","0.438363661","0.00221","0.00281","0.00355","0.00441","0.00548","0.00673","0.00827","0.01003","0.01206"
"0.55","0.511781573","0.488218427","0.00217","0.00270","0.00338","0.00416","0.00517","0.00630","0.00760","0.00914","0.01128"
"0.6","0.460666592","0.539333408","0.00213","0.00263","0.00325","0.00397","0.00496","0.00607","0.00707","0.00843","0.01066"
"0.65","0.408242999","0.591757001","0.00209","0.00257","0.00317","0.00385","0.00486","0.00588","0.00678","0.00806","0.00986"
"0.7","0.354459891","0.645540109","0.00205","0.00252","0.00311","0.00378","0.00476","0.00577","0.00666","0.00791","0.00958"
"0.75","0.299263687","0.700736313","0.00201","0.00246","0.00305","0.00370","0.00466","0.00564","0.00654","0.00777","0.00934"
"0.8","0.242597955","0.757402045","0.00197","0.00242","0.00299","0.00364","0.00454","0.00554","0.00641","0.00762","0.00913"
"0.85","0.184403216","0.815596784","0.00192","0.00237","0.00292","0.00357","0.00446","0.00544","0.00625","0.00744","0.00895"
"0.9","0.124616739","0.875383261","0.00188","0.00233","0.00287","0.00350","0.00435","0.00535","0.00613","0.00731","0.00865"
"0.95","0.063172312","0.936827688","0.00185","0.00227","0.00280","0.00341","0.00426","0.00523","0.00603","0.00716","0.00847"
"1","0","1","0.00178","0.00220","0.00271","0.00331","0.00415","0.00508","0.00581","0.00700","0.00831"
